id,artist_name,track_name,release_date,genre
401,the platters,don't blame me,1958,pop
402,perry como,between the devil and the deep blue sea,1958,pop
404,perry como,in the garden,1958,pop
407,perry como,he's got the whole world in his hands,1958,pop
408,perry como,birth of the blues,1958,pop
410,johnny mathis,where can i go?,1958,pop
411,張露,夢斷巫山,1958,pop
413,張露,你去了那裡,1958,pop
414,frankie laine,mona lisa,1958,pop
415,a. m. rajah,inbamae pongumae,1958,pop
416,t. m. soundararajan,enna vendum,1958,pop
419,maria koterbska,cowboy jackie,1958,pop
425,ricky nelson,unchained melody,1958,pop
426,frankie laine,"rose, rose, i love you",1958,pop
429,bobby darin,talk to me something,1958,pop
440,ricky nelson,there goes my baby,1958,pop
442,the everly brothers,"oh, so many years",1958,pop
443,johnny mathis,when i am with you,1958,pop
445,ricky nelson,i'll walk alone,1958,pop
447,ricky nelson,down the line,1958,pop
449,billy vaughn,yours,1958,pop
452,jerry vale,all dressed up with a broken heart,1958,pop
456,buddy holly,changing all those changes,1958,pop
458,johnny mathis,no love (but your love),1958,pop
463,bobby darin,pretty betty,1958,pop
464,buddy holly,well...all right,1958,pop
465,johnny mathis,"wonderful, wonderful",1958,pop
467,buddy holly,i'm gonna love you too,1958,pop
469,johnny mathis,sleigh ride,1958,pop
470,johnny mathis,the twelfth of never,1958,pop
472,jackie wilson,to be loved,1958,pop
473,johnny mathis,when sunny gets blue,1958,pop
475,buddy holly,words of love,1958,pop
478,ricky nelson,poor little fool,1958,pop
485,frankie laine,high noon,1958,pop
486,buddy holly,"blue days, black nights",1958,pop
490,buddy holly,take your time,1958,pop
491,johnny mathis,winter wonderland,1958,pop
494,buddy holly,little baby,1958,pop
499,buddy holly,valley of tears,1958,pop
501,frankie lymon,diana,1958,pop
502,the everly brothers,long time gone,1958,pop
503,the everly brothers,roving gambler,1958,pop
504,buddy holly,listen to me,1958,pop
507,buddy holly,you are my one desire,1958,pop
509,buddy holly,love me,1958,pop
518,perry como,love letters,1958,pop
520,the drifters,drifting away from you,1958,pop
522,the drifters,moonlight bay,1958,pop
525,the platters,i'll take you home again kathleen,1958,pop
526,the platters,my serenade,1958,pop
531,the platters,sleepy time gal,1958,pop
532,the platters,try a little tenderness,1958,pop
534,mantovani,"god rest ye merry, gentlemen",1958,pop
537,jerry vale,all of me,1958,pop
541,the platters,that old feeling,1958,pop
546,the platters,for the first time,1958,pop
547,ricky nelson,believe what you say,1958,pop
549,ricky nelson,my bucket's got a hole in it,1958,pop
551,frankie laine,jealousy (jalousie),1958,pop
553,the platters,it's raining outside,1958,pop
554,jerry lee lewis,good night irene,1958,pop
558,johnny mathis,blue christmas,1958,pop
565,the platters,whispering wind,1958,pop
570,jackie wilson,as long as i live,1958,pop
571,jackie wilson,right now!,1958,pop
572,frankie laine,granada,1958,pop
573,frankie laine,your cheatin' heart,1958,pop
574,the platters,but not like you,1958,pop
576,jackie wilson,danny boy,1958,pop
579,frankie laine,that's my desire,1958,pop
584,ricky nelson,don't leave me,1959,pop
585,jerry vale,"promises, promises",1959,pop
586,jerry vale,moonglow,1959,pop
590,neil sedaka,i belong to you,1959,pop
591,neil sedaka,crying my heart out for you,1959,pop
593,neil sedaka,moon of gold,1959,pop
594,neil sedaka,i waited too long,1959,pop
595,neil sedaka,forty winks away,1959,pop
597,neil sedaka,no vacancy,1959,pop
599,ricky nelson,blood from a stone,1959,pop
600,neil sedaka,going home to mary lou,1959,pop
607,cliff richard & the shadows,i'm walkin',1959,pop
608,shirley bassey,i've got you under my skin,1959,pop
610,neil sedaka,walk with me,1959,pop
613,neil sedaka,as long as i live,1959,pop
615,neil sedaka,the same old fool,1959,pop
621,jackie wilson,love is all,1959,pop
623,ghantasala,shiva shankari shivananda,1959,pop
624,lloyd price,i wish your picture was you,1959,pop
631,johnny mathis,stairway to the sea (scalinatella),1959,pop
635,johnny mathis,embraceable you,1959,pop
636,johnny mathis,let's love,1959,pop
640,tony dallara,oceano,1959,pop
641,rania,منك بخاف,1959,pop
645,ira ironstrings,let it snow! let it snow! let it snow!,1959,pop
648,brenda lee,back in your own back yard,1959,pop
651,johnny mathis,you better go now,1959,pop
653,johnny mathis,i'm just a boy in love,1959,pop
654,johnny mathis,secret love,1959,pop
655,johnny mathis,where are you?,1959,pop
656,johnny mathis,faithfully,1959,pop
661,connie francis,have yourself a merry little christmas,1959,pop
662,connie francis,i'll be home for christmas,1959,pop
665,lavern baker,"touch me, lord jesus",1959,pop
667,jackie wilson,happiness,1959,pop
668,jackie wilson,"only you, only me",1959,pop
669,jackie wilson,it's all a part of love,1959,pop
670,the brothers four,superman,1959,pop
671,the brothers four,angelique-o,1959,pop
673,the brothers four,the damsel's lament (i never will marry),1959,pop
679,johnny mathis,i'll be easy to find,1959,pop
680,the platters,prisoner of love,1959,pop
681,the platters,if i didn't care,1959,pop
685,the flamingos,as time goes by,1959,pop
687,johnny mathis,when i fall in love,1959,pop
689,the platters,i'll never smile again,1959,pop
690,connie francis,mama,1959,pop
691,ritchie valens,rockin' all night,1959,pop
693,dion & the belmonts,i got the blues,1959,pop
695,bobby darin,through a long and sleepless night,1959,pop
698,ricky nelson,sweeter than you,1959,pop
700,dion & the belmonts,no one knows,1959,pop
704,connie francis,non dimenticar,1959,pop
705,the byrds,turn! turn! turn! (to everything there is a season),1959,pop
712,simon & garfunkel,mrs. robinson,1959,pop
715,the brothers four,yellow bird,1959,pop
716,ritchie valens,stay beside me,1959,pop
717,dion & the belmonts,just you,1959,pop
720,neil sedaka,you mean everything to me,1959,pop
722,fats domino,i'm walkin',1959,pop
724,jackie wilson,lonely teardrops,1959,pop
726,neil sedaka,oh! carol,1959,pop
728,ricky nelson,lonesome town,1959,pop
729,fats domino,blueberry hill,1959,pop
733,fats domino,ain't that a shame,1959,pop
735,the platters,smoke gets in your eyes,1959,pop
737,dion & the belmonts,a teenager in love,1959,pop
738,ritchie valens,we belong together,1959,pop
741,connie francis,winter wonderland,1959,pop
746,ritchie valens,paddiwack song,1959,pop
759,esquivel!,boulevard of broken dreams,1959,pop
760,ricky nelson,it's late,1959,pop
761,bobby darin,i'll remember april,1959,pop
766,ritchie valens,my darling is gone,1959,pop
767,the flamingos,"music, maestro, please!",1959,pop
768,dion & the belmonts,that's my desire,1959,pop
770,the clovers,fool fool fool,1959,pop
771,the clovers,all about you,1959,pop
773,harry belafonte,the marching saints,1959,pop
776,neil sedaka,i must be dreaming,1959,pop
778,ricky nelson,one minute to one,1959,pop
780,connie francis,you alone,1959,pop
781,esquivel!,all of me,1959,pop
782,the platters,love in bloom,1959,pop
784,neil sedaka,all i need is you,1959,pop
789,johnny mathis,tonight,1959,pop
790,johnny mathis,call me,1959,pop
794,neil sedaka,run samson run,1959,pop
796,ricky nelson,half breed,1959,pop
799,connie francis,i have but one heart,1959,pop
802,brenda lee,baby face,1959,pop
804,the brothers four,sama kama wacky brown,1959,pop
805,simon & garfunkel,the sound of silence,1959,pop
809,neil sedaka,one way ticket,1959,pop
812,dion & the belmonts,don't pity me,1959,pop
813,harry belafonte,swing low,1959,pop
814,neil sedaka,another sleepless night,1959,pop
815,bobby darin,it ain't necessarily so,1959,pop
816,johnny mathis,stranger in paradise,1959,pop
825,bobby darin,that's the way love is,1959,pop
827,johnny mathis,a ride on a rainbow,1959,pop
830,johnny mathis,someone,1959,pop
835,"blood, sweat & tears",you've made me so very happy,1959,pop
836,jackie wilson,someone to need me (as i need you),1959,pop
839,ricky nelson,i can't help it (if i'm still in love with you),1959,pop
841,ricky nelson,it's all in the game,1959,pop
842,jerry lee lewis,your cheating heart,1960,pop
843,sam cooke,the japanese farewell song,1960,pop
845,the brothers four,i am a roving gambler,1960,pop
846,bobby darin,christmas auld land syne,1960,pop
849,miriam makeba,"lakutshn, ilanga",1960,pop
850,the everly brothers,"oh, true love",1960,pop
854,the everly brothers,you thrill me (through and through),1960,pop
855,fats domino,three nights a week,1960,pop
857,patti page,with my eyes wide open i'm dreaming,1960,pop
860,fats domino,don't come knockin',1960,pop
868,brook benton,september song,1960,pop
870,the flamingos,you belong to my heart,1960,pop
871,harry belafonte,a hole in the bucket,1960,pop
873,sam cooke,sweet leilani,1960,pop
881,the everly brothers,memories are made of this,1960,pop
883,the everly brothers,some sweet day,1960,pop
888,the flamingos,at night,1960,pop
890,bobby darin,guys and dolls,1960,pop
892,jackie wilson,"a woman, a lover, a friend",1960,pop
893,the brothers four,"theme from ""la fayette""",1960,pop
894,connie francis,summertime in venice,1960,pop
897,the flamingos,tell me how long,1960,pop
899,the moody blues,steal your heart away,1960,pop
900,the flamingos,when i fall in love,1960,pop
901,miriam makeba,one more dance,1960,pop
902,the flamingos,tenderly,1960,pop
906,fats domino,it's the talk of the town,1960,pop
915,brenda lee,blueberry hill,1960,pop
916,brenda lee,teach me tonight,1960,pop
918,the platters,moonlight on the colorado,1960,pop
919,johnny mathis,don't blame me,1960,pop
920,mohammed rafi,saathi na koi manzil,1960,pop
922,ike & tina turner,i had a notion,1960,pop
923,si zentner,little jazz,1960,pop
926,neil sedaka,circulate,1960,pop
927,neil sedaka,sweet little you,1960,pop
928,neil sedaka,king of clowns,1960,pop
934,neil sedaka,look inside your heart,1960,pop
939,bobby darin,somebody to love,1960,pop
945,neil sedaka,smile,1960,pop
949,annette funicello,lonely guitar,1960,pop
952,fats domino,you always hurt the one you love,1960,pop
953,ike & tina turner,chances are,1960,pop
955,ike & tina turner,sleepless,1960,pop
959,annette funicello,i love you,1960,pop
964,frankie avalon,bobby sox to stockings,1960,pop
967,eden ahbez,the wanderer,1960,pop
970,sam cooke,(ain't that) good news,1960,pop
973,patti page,changing partners,1960,pop
974,sam cooke,good times,1960,pop
977,the everly brothers,always it's you,1960,pop
980,frankie avalon,just ask your heart,1960,pop
984,the everly brothers,so sad (to watch good love go bad),1960,pop
985,sam cooke,keep movin' on,1960,pop
986,the everly brothers,sleepless nights,1960,pop
996,fats domino,walking to new orleans,1960,pop
997,sam cooke,soul,1960,pop
1001,sam cooke,unchained melody,1960,pop
1004,brenda lee,sweet nothin's,1960,pop
1013,neil sedaka,breaking up is hard to do,1960,pop
1015,sam cooke,you send me,1960,pop
1017,sam cooke,nothing can change this love,1960,pop
1018,the flamingos,mio amore,1960,pop
1024,fats domino,my girl josephine,1960,pop
1025,bobby vee,devil or angel,1960,pop
1026,dion & the belmonts,i'm through with love,1960,pop
1031,the everly brothers,love hurts,1960,pop
1032,the platters,harbor lights,1960,pop
1035,sam cooke,chain gang,1960,pop
1037,sam cooke,jamaica farewell,1960,pop
1041,sam cooke,"you, you, you",1960,pop
1043,sam cooke,far away places,1960,pop
1045,joan baez,girl of constant sorrow,1960,pop
1048,dion & the belmonts,a lover's prayer,1960,pop
1052,sam cooke,under paris skies,1960,pop
1054,patti page,mockin' bird hill,1960,pop
1056,sam cooke,secret love,1960,pop
1057,sam cooke,venus,1960,pop
1059,the flamingos,bridge of tears,1960,pop
1061,patti page,cross over the bridge,1960,pop
1064,connie francis,return to me,1960,pop
1065,sam cooke,the song from moulin rouge,1960,pop
1066,sam cooke,you're nobody til somebody loves you,1960,pop
1068,neil sedaka,all the words in the world,1960,pop
1073,dion & the belmonts,all the things you are,1960,pop
1074,sam cooke,the great pretender,1960,pop
1075,patti page,i went to your wedding,1960,pop
1076,brenda lee,heading home,1960,pop
1082,brook benton,fools rush in,1960,pop
1084,frankie avalon,i'll wait for you,1960,pop
1087,sam cooke,mona lisa,1960,pop
1094,sam cooke,falling in love,1960,pop
1095,johnny burnette,cincinnati fireball,1960,pop
1098,neil sedaka,don't lead me on,1960,pop
1101,dion & the belmonts,swinging on a star,1960,pop
1102,joan baez,mary hamilton,1960,pop
1104,chubby checker,the jet,1961,pop
1105,andy williams,i'm old fashioned,1961,pop
1106,andy williams,"come to me, bend to me",1961,pop
1111,bobby darin,just friends,1961,pop
1112,the everly brothers,my mammy,1961,pop
1117,brenda lee,cry,1961,pop
1122,the shirelles,blue holiday,1961,pop
1126,bobby vee,mister sandman,1961,pop
1129,brian hyland,paper doll,1961,pop
1131,ben e. king,"love me, love me",1961,pop
1137,the shirelles,the dance is over,1961,pop
1138,judy collins,maid of constant sorrow,1961,pop
1140,the miracles,a heart like mine,1961,pop
1141,the miracles,don't leave me,1961,pop
1143,del shannon,the search,1961,pop
1146,andy williams,the twelfth of never,1961,pop
1153,bobby vee,long lonely nights,1961,pop
1155,brian hyland,baby face,1961,pop
1157,connie francis,how long has this been going on,1961,pop
1159,little richard,joy joy joy,1961,pop
1160,bobby vee,light infatuation,1961,pop
1163,bobby vee,how many tears,1961,pop
1167,shirley bassey,love is a many splendored thing,1961,pop
1168,the everly brothers,when i grow too old to dream,1961,pop
1171,the shirelles,it's mine,1961,pop
1173,the shirelles,what a sweet thing that was,1961,pop
1174,johnny burnette,mona lisa,1961,pop
1177,johnny burnette,oh lonesome me,1961,pop
1178,sue thompson,paper tiger,1961,pop
1180,les paul,am i blue,1961,pop
1182,najat al saghira,إلى حبيبى تسجيل حفلة,1961,pop
1183,les paul,your cheatin' heart,1961,pop
1186,bobby darin,long ago and far away,1961,pop
1187,bobby darin,the more i see you,1961,pop
1195,the everly brothers,bully of the town,1961,pop
1196,the everly brothers,muskrat,1961,pop
1199,the everly brothers,"hi-lili, hi-lo",1961,pop
1201,sam cooke,the song is ended (but the melody lingers on),1961,pop
1203,roy orbison,blue avenue,1961,pop
1204,roy orbison,rock house,1961,pop
1205,jerry lee lewis,hello josephine,1961,pop
1211,ben e. king,perfidia,1961,pop
1213,the marvelettes,so long baby,1961,pop
1214,mary wells,i'm gonna stay,1961,pop
1215,bobby vee,earth angel,1961,pop
1218,steve lawrence,footsteps,1961,pop
1220,sam cooke,they call the wind maria,1961,pop
1221,roy orbison,i'm hurtin',1961,pop
1223,del shannon,misery,1961,pop
1225,lavern baker,saved,1961,pop
1227,chubby checker,the watusi,1961,pop
1228,sam cooke,you belong o me,1961,pop
1230,sam cooke,if i had you (i'd be happy),1961,pop
1234,bobby vee,lollipop,1961,pop
1240,brenda lee,dum dum,1961,pop
1241,dee clark,raindrops,1961,pop
1242,roy orbison,(i'd be) a legend in my time,1961,pop
1249,ben e. king,come closer to me,1961,pop
1250,dion,life is but a dream,1961,pop
1252,sam cooke,"swing low, sweet chariot",1961,pop
1255,johnny burnette,you're sixteen,1961,pop
1256,bobby vee,rubber ball,1961,pop
1257,sam cooke,you're always on my mind,1961,pop
1261,dion,dream lover,1961,pop
1265,roy orbison,only the lonely,1961,pop
1266,del shannon,runaway,1961,pop
1275,harry belafonte,angelina,1961,pop
1276,dion,lonely teenager,1961,pop
1277,bobby vee,more than i can say,1961,pop
1279,bobby darin,it had to be you,1961,pop
1280,dion,the majestic,1961,pop
1282,jerry butler,he will break your heart,1961,pop
1287,roy orbison,raindrops,1961,pop
1288,brenda lee,emotions,1961,pop
1289,dion,lonely world,1961,pop
1291,roy orbison,i can't stop loving you,1961,pop
1293,the marvelettes,happy days,1961,pop
1297,roy orbison,devil doll,1961,pop
1301,del shannon,jody,1961,pop
1303,les paul,"goodnight, irene",1961,pop
1304,brenda lee,will you love me tomorrow,1961,pop
1308,dion,my one and only love,1961,pop
1310,the shirelles,you don't want my love,1961,pop
1313,roy orbison,this kind of love,1961,pop
1315,roy orbison,sweet and easy to love,1961,pop
1317,dee clark,nobody but you,1961,pop
1321,jerry lee lewis,"cold, cold heart",1961,pop
1322,the miracles,won't you take me back,1961,pop
1331,andy williams,tammy,1961,pop
1336,johnny burnette,dream lover,1961,pop
1339,andy williams,danny boy,1961,pop
1340,harry belafonte,bally mena,1961,pop
1345,frankie laine,wanted man,1961,pop
1347,brenda lee,when i fall in love,1961,pop
1350,harry belafonte,land of the sea and sun,1961,pop
1351,roy orbison,twenty-two days,1961,pop
1352,sam cooke,out in the cold again,1961,pop
1354,sam cooke,but not for me,1961,pop
1355,mary wells,please forgive me,1961,pop
1356,brian hyland,angel in my heart,1961,pop
1359,del shannon,day dreams,1961,pop
1360,the marvelettes,oh i apologize,1961,pop
1361,dee clark,hey little girl,1961,pop
1362,dion,fools rush in,1961,pop
1364,chubby checker,the stroll,1961,pop
1367,mary wells,bad boy,1961,pop
1371,dion,havin' fun,1961,pop
1378,eddie cochran,cherished memories,1962,pop
1385,bobby darin,i'll be there,1962,pop
1388,bobby darin,blue skies,1962,pop
1389,dion,lost for sure,1962,pop
1395,the marvelettes,you should know,1962,pop
1398,eddie cochran,love again,1962,pop
1401,shelley fabares,"hi-lilli, hi-lo",1962,pop
1407,the lettermen,dreamer,1962,pop
1408,mary wells,two wrongs don't make a right,1962,pop
1410,eddie cochran,lonely,1962,pop
1414,eddie cochran,little angel,1962,pop
1415,the supremes,your heart belongs to me,1962,pop
1416,eddie cochran,boll weevil song,1962,pop
1417,timi yuro,what's a matter baby (is it hurting you),1962,pop
1432,the lettermen,blueberry hill,1962,pop
1433,little eva,run to her,1962,pop
1434,dion,king without a queen,1962,pop
1435,pat boone,remember you're mine,1962,pop
1438,cliff richard & the shadows,lessons in love,1962,pop
1439,shelley fabares,breaking up is hard to do,1962,pop
1445,pat boone,if dreams came true,1962,pop
1446,pat boone,don't forbid me,1962,pop
1450,roy orbison,(i get so) sentimental,1962,pop
1451,chubby checker,the hucklebuck,1962,pop
1453,pat boone,ain't that a shame,1962,pop
1458,bobby vee,run to him,1962,pop
1466,bobby darin,always,1962,pop
1467,the marvelettes,(i've got to) cry over you,1962,pop
1469,johnny tillotson,earth angel,1962,pop
1470,little eva,sharing you,1962,pop
1471,little eva,uptown,1962,pop
1472,dee dee sharp,i sold my heart to the junkman,1962,pop
1474,jerry vale,you alone (solo tu),1962,pop
1476,cliff richard,(it's) wonderful to be young,1962,pop
1478,the orlons,let me in,1962,pop
1480,gene chandler,baby that's love,1962,pop
1481,gene chandler,so many ways,1962,pop
1482,gene chandler,from day to day,1962,pop
1483,roy orbison,night life,1962,pop
1485,ben e. king,here comes the night,1962,pop
1489,gene chandler,you left me,1962,pop
1490,the supremes,never again,1962,pop
1491,the supremes,play a sad song,1962,pop
1493,the shirelles,big john (ain't you gonna marry me),1962,pop
1502,shelley fabares,love letters,1962,pop
1507,johnny tillotson,dreamy eyes,1962,pop
1508,bobby darin,all by myself,1962,pop
1509,andy williams,a fool never learns,1962,pop
1510,chris montez,you're the one,1962,pop
1513,shelley fabares,true love,1962,pop
1514,shelley fabares,sealed with a kiss,1962,pop
1516,glen campbell,one hundred miles away from home,1962,pop
1517,bobby vee,walkin' with my angel,1962,pop
1518,bobby vee,sharing you,1962,pop
1519,brenda lee,only you (and you alone),1962,pop
1521,chris montez,rocking blues,1962,pop
1522,andy williams,your song,1962,pop
1524,dion,donna the prima donna,1962,pop
1527,georgie fame,the ballad of bonnie & clyde,1962,pop
1528,ben e. king,ecstasy,1962,pop
1531,roy orbison,let's make a memory,1962,pop
1533,bob dylan,"baby, let me follow you down",1962,pop
1535,the shirelles,soldier boy,1962,pop
1540,mary wells,you're my desire,1962,pop
1543,roy orbison,the great pretender,1962,pop
1545,dion,"tonight, tonight",1962,pop
1554,smokey robinson & the miracles,what's so good about goodbye,1962,pop
1556,roy orbison,evergreen,1962,pop
1557,johnny tillotson,take good care of her,1962,pop
1560,"peter, paul and mary",if i had a hammer,1962,pop
1562,andy williams,three coins in the fountain,1962,pop
1564,andy williams,love is a many-splendored thing,1962,pop
1571,andy williams,tonight,1962,pop
1573,roy orbison,love hurts,1962,pop
1574,bobby vinton,long lonely nights,1962,pop
1579,bobby vinton,sealed with a kiss,1962,pop
1580,roy orbison,it's over,1962,pop
1581,bobby vinton,roses are red (my love),1962,pop
1582,the everly brothers,crying in the rain,1962,pop
1583,bobby vinton,mr. lonely,1962,pop
1588,ben e. king,stand by me,1962,pop
1591,roy orbison,crying,1962,pop
1600,bobby vinton,blue on blue,1962,pop
1606,bobby vinton,over and over,1962,pop
1610,andy williams,the impossible dream (the quest),1962,pop
1611,roy orbison,running scared,1962,pop
1614,bobby vinton,i love how you love me,1962,pop
1616,pat boone,love letters in the sand,1962,pop
1618,chubby checker,limbo rock,1962,pop
1620,bob dylan,fixin' to die,1962,pop
1625,roy orbison,the crowd,1962,pop
1631,the shirelles,putty in your hands,1962,pop
1634,the lettermen,smile,1962,pop
1638,roy orbison,she wears my ring,1962,pop
1639,roy orbison,summer song,1962,pop
1640,sam cooke,twistin' in the kitchen with dinah,1962,pop
1641,ben e. king,i promise love,1962,pop
1643,roy orbison,wedding day,1962,pop
1652,chubby checker,loddy lo,1962,pop
1655,del shannon,cry myself to sleep,1962,pop
1656,andy williams,it might as well be spring,1962,pop
1661,"peter, paul and mary",autumn to may,1962,pop
1664,pat boone,i'll be home,1962,pop
1666,jay & the americans,she cried,1962,pop
1668,bob dylan,gospel plow,1962,pop
1670,"peter, paul and mary",if i had my way,1962,pop
1675,bobby vinton,halfway to paradise,1962,pop
1680,bob dylan,see that my grave is kept clean,1962,pop
1682,dee dee sharp,gravy (for my mashed potatoes),1962,pop
1687,cliff richard,when the girl in your arms is the girl in your heart,1962,pop
